pose_id,pose_name,pose_family,stl_file,bone_coordinates_csv,mask_file,mask_shape,mask_dtype,mask_nonzero_voxels,stl_size_bytes,mask_size_bytes
86,pose_arm_16.7deg,both_arm_or_forearm_sweep,poses/86.stl,poses/86.csv,numpy_masks_poses/86_mask.npy,63x184x85,float32,131910,4082334,3941408
87,pose_arm_20.0deg,both_arm_or_forearm_sweep,poses/87.stl,poses/87.csv,numpy_masks_poses/87_mask.npy,63x184x85,float32,134422,4082334,3941408
88,pose_arm_23.3deg,both_arm_or_forearm_sweep,poses/88.stl,poses/88.csv,numpy_masks_poses/88_mask.npy,63x184x85,float32,138319,4082334,3941408
89,pose_arm_26.7deg,both_arm_or_forearm_sweep,poses/89.stl,poses/89.csv,numpy_masks_poses/89_mask.npy,63x184x85,float32,140319,4082334,3941408
90,pose_arm_30.0deg,both_arm_or_forearm_sweep,poses/90.stl,poses/90.csv,numpy_masks_poses/90_mask.npy,63x184x85,float32,142537,4082334,3941408
91,pose_arm_0.0deg,both_arm_or_forearm_sweep,poses/91.stl,poses/91.csv,numpy_masks_poses/91_mask.npy,63x184x85,float32,115721,4082334,3941408
92,pose_arm_2.2deg,both_arm_or_forearm_sweep,poses/92.stl,poses/92.csv,numpy_masks_poses/92_mask.npy,63x184x85,float32,115660,4082334,3941408
93,pose_arm_4.4deg,both_arm_or_forearm_sweep,poses/93.stl,poses/93.csv,numpy_masks_poses/93_mask.npy,63x184x85,float32,115628,4082334,3941408
94,pose_arm_6.7deg,both_arm_or_forearm_sweep,poses/94.stl,poses/94.csv,numpy_masks_poses/94_mask.npy,63x184x85,float32,115649,4082334,3941408
95,pose_arm_8.9deg,both_arm_or_forearm_sweep,poses/95.stl,poses/95.csv,numpy_masks_poses/95_mask.npy,63x184x85,float32,117339,4082334,3941408
96,pose_arm_11.1deg,both_arm_or_forearm_sweep,poses/96.stl,poses/96.csv,numpy_masks_poses/96_mask.npy,63x184x85,float32,120386,4082334,3941408
97,pose_arm_13.3deg,both_arm_or_forearm_sweep,poses/97.stl,poses/97.csv,numpy_masks_poses/97_mask.npy,63x184x85,float32,120333,4082334,3941408
98,pose_arm_15.6deg,both_arm_or_forearm_sweep,poses/98.stl,poses/98.csv,numpy_masks_poses/98_mask.npy,63x184x85,float32,120168,4082334,3941408
